Date,Abs.,V(m3),Conc.,Aveg.,compound,location,year,month
3/5/2011 0:00,0.011,228,7.76754386,,so2,Kupwad,2011,march
3/5/2011 0:00,0.019,228,13.41666667,,so2,Kupwad,2011,march
3/5/2011 0:00,0.014,228,9.885964912,,so2,Kupwad,2011,march
3/9/2011 0:00,0.007,228,4.942982456,9.415204678,so2,Kupwad,2011,march
3/9/2011 0:00,0.013,228,9.179824561,,so2,Kupwad,2011,march
3/9/2011 0:00,0.012,228,8.473684211,,so2,Kupwad,2011,march
3/9/2011 0:00,0.016,228,11.29824561,,so2,Kupwad,2011,march
3/9/2011 0:00,0.014,228,9.885964912,,so2,Kupwad,2011,march
3/9/2011 0:00,0.018,228,12.71052632,,so2,Kupwad,2011,march
3/12/2011 0:00,0.01,240,6.708333333,11.38651316,so2,Kupwad,2011,march
3/12/2011 0:00,0.013,240,8.720833333,,so2,Kupwad,2011,march
